MoleculeType,Entrez_ID,UniprotID,Name,Via de Sinalização
Proteins,P08754,P08754,GNAI3,G alpha (i) signalling events 
Proteins,P63096,P63096,GNAI1,G alpha (i) signalling events 
Proteins,P04899,P04899,GNAI2,G alpha (i) signalling events 
Proteins,A8MTJ3,A8MTJ3,GNAT3,G alpha (i) signalling events 
Proteins,P12931,P12931,SRC,G alpha (i) signalling events 
Proteins,P62879,P62879,GNB2,G alpha (i) signalling events 
Proteins,Q9HAV0,Q9HAV0,GNB4,G alpha (i) signalling events 
Proteins,O14775,O14775,GNB5,G alpha (i) signalling events 
Proteins,P16520,P16520,GNB3,G alpha (i) signalling events 
Proteins,P62873,P62873,GNB1,G alpha (i) signalling events 
Proteins,Q9UK08,Q9UK08,GNG8,G alpha (i) signalling events 
Proteins,O14610,O14610,GNGT2,G alpha (i) signalling events 
Proteins,P63211,P63211,GNGT1,G alpha (i) signalling events 
Proteins,O60262,O60262,GNG7,G alpha (i) signalling events 
Proteins,Q9P2W3,Q9P2W3,GNG13,G alpha (i) signalling events 
Proteins,P63215,P63215,GNG3,G alpha (i) signalling events 
Proteins,P50151,P50151,GNG10,G alpha (i) signalling events 
Proteins,P61952,P61952,GNG11,G alpha (i) signalling events 
Proteins,P50150,P50150,GNG4,G alpha (i) signalling events 
Proteins,P63218,P63218,GNG5,G alpha (i) signalling events 
Proteins,Q9UBI6,Q9UBI6,GNG12,G alpha (i) signalling events 
Proteins,P59768,P59768,GNG2,G alpha (i) signalling events 
Proteins,Q8NHW4,Q8NHW4,CCL4L1,G alpha (i) signalling events 
Proteins,P13236,P13236,CCL4,G alpha (i) signalling events 
Proteins,P32246,P32246,CCR1,G alpha (i) signalling events 
Proteins,P51681,P51681,CCR5,G alpha (i) signalling events 
Proteins,P25090,P25090,FPR2,G alpha (i) signalling events 
Proteins,P05067,P05067,APP,G alpha (i) signalling events 
Proteins,P55773-2,P55773-2,CCL23,G alpha (i) signalling events 
Proteins,P0DJI8,P0DJI8,SAA1,G alpha (i) signalling events 
Proteins,P04083,P04083,ANXA1,G alpha (i) signalling events 
Proteins,Q8IVG9,Q8IVG9,MT-RNR2,G alpha (i) signalling events 
Proteins,Q9HB89,Q9HB89,NMUR1,G alpha (i) signalling events 
Proteins,Q9GZQ4,Q9GZQ4,NMUR2,G alpha (i) signalling events 
Proteins,P48645,P48645,NMU,G alpha (i) signalling events 
Proteins,Q8TDS5,Q8TDS5,OXER1,G alpha (i) signalling events 
Proteins,P51582,P51582,P2RY4,G alpha (i) signalling events 
Proteins,Q9Y2T6,Q9Y2T6,GPR55,G alpha (i) signalling events 
